qubit,T1_us,T2_us,frequency_GHz,readout_error,sx_gate_error,sx_gate_length_ns,mean_ecr_error,mean_ecr_length_ns
64,73.21640665178644,85.96090779737318,4.8789153561156695,0.203125,0.0002265602480550732,56.888888888888886,0.0068448450750597245,533.3333333333333
65,313.9630402148522,266.52400553692337,4.758059801359128,0.02392578125,0.0002611348613445934,56.888888888888886,0.01046096421647022,533.3333333333333
66,250.70075054831938,364.53150948202045,4.80960484101804,0.017333984375,0.0004095846142476188,56.888888888888886,0.01809839724658376,533.3333333333333
67,238.7001918524563,319.37984112454114,4.893009686341151,0.017822265625,0.00014204784618536884,56.888888888888886,0.007351445625108699,533.3333333333333
68,253.8242323010492,202.10155332339522,4.741283978910455,0.01318359375,0.0003822256118949137,56.888888888888886,0.006637061900423217,533.3333333333333
69,316.37397549465317,34.7220855205559,4.837433376447744,0.019775390625,0.00020239567706527756,56.888888888888886,0.005123565063272134,533.3333333333333
70,184.67132983030697,284.01298869183427,4.708547980180895,0.16259765625,0.00014204216025414773,56.888888888888886,0.004879096174321557,533.3333333333333
71,228.7959552493884,138.26846297723273,4.846333230227863,0.017822265625,0.00027123512768513876,56.888888888888886,0.006962849637302426,533.3333333333333
72,245.49441270415966,373.0782859094041,4.8745522611051255,0.09716796875,0.00025698735103422206,56.888888888888886,0.0065404822044771715,533.3333333333333
73,317.8104118510137,170.0127424244177,4.8747926304495515,0.0068359375,0.00018456444083305443,56.888888888888886,0.017996852362880955,533.3333333333333
74,181.27809195453833,136.59819344785856,4.814374138664081,0.0029296875,0.00044273275615107685,56.888888888888886,0.006561953802780129,533.3333333333333
75,460.7579371690756,207.06408403831952,4.769012156928834,0.055908203125,0.00023289071900372467,56.888888888888886,0.01627459700827827,533.3333333333333
76,264.2586598249237,112.14670973171434,4.702013353977156,0.011474609375,0.00021428628735981628,56.888888888888886,0.008039647988499543,533.3333333333333
77,271.63335271568184,212.6679905748703,4.806556173733097,0.0087890625,0.0001339241301867469,56.888888888888886,0.0064285369243817225,533.3333333333333
78,340.08545515959673,33.20453973529866,4.8611355055155965,0.01708984375,0.00015527335762747057,56.888888888888886,0.005800705275344126,533.3333333333333
79,230.63643632809297,24.196989159075557,4.7860606465241,0.015625,0.000276356696272097,56.888888888888886,0.007383234806014678,533.3333333333333
80,146.9928637936869,212.41801901970572,5.042749024158998,0.010986328125,0.0003117482957274284,56.888888888888886,0.0070072772350789625,533.3333333333333
81,255.51354182116037,158.85044685375,4.9613971892858855,0.005615234375,0.00020537250503210836,56.888888888888886,0.011195706479408448,533.3333333333333
82,201.60056627164948,218.60493849848115,4.815101576494034,0.032470703125,0.002048588883766918,56.888888888888886,0.01546752035329338,533.3333333333333
83,297.8927433600404,57.06640093315378,4.7378777791568485,0.0234375,0.0003003065375897769,56.888888888888886,0.33942301806894887,533.3333333333333
84,198.89469747965714,368.3214517078221,4.666019813276205,0.5,0.0006913586036289218,56.888888888888886,1.0,533.3333333333333
85,421.0571146376437,185.0064585255704,4.74528105499374,0.078125,0.00015745321113829025,56.888888888888886,0.3384350820589402,533.3333333333333
86,149.66741484017624,138.64850313513932,4.889910733757157,0.012939453125,0.0002817941732775242,56.888888888888886,0.008925825938771281,533.3333333333333
87,235.96772051568712,326.5369610513888,4.824424366861027,0.012451171875,0.0001303354613133223,56.888888888888886,0.007299797955270452,533.3333333333333
